iter	RMSE
196	1.125416173
197	1.123634138
198	1.121826367
199	1.118272709
200	1.115373822
201	1.112780009
202	1.111345634
203	1.10821088
204	1.105849919
205	1.104418464
206	1.102882424
207	1.10062948
208	1.098779561
209	1.097303833
210	1.096211984
211	1.094603125
212	1.092486563
213	1.090890285
214	1.089299305
215	1.087318368
216	1.085651606
217	1.084022631
218	1.082061161
219	1.080042468
220	1.078021335
221	1.076326245
222	1.073712767
223	1.072350039
224	1.070850385
225	1.068505357
226	1.065838225
227	1.063341538
228	1.061248819
229	1.059377554
230	1.058456808
231	1.056081543
232	1.054397759
233	1.053056025
234	1.051242605
235	1.049106458
236	1.046895133
237	1.044604422
238	1.042099342
239	1.040201611
240	1.038592195
241	1.037610764
242	1.036227686
243	1.033818059
244	1.031483635
245	1.028781261
246	1.026284715
247	1.024698351
248	1.02235715
249	1.021194062
250	1.019328469
251	1.017966412
252	1.016394375
253	1.014877595
254	1.01332187
255	1.012080337
256	1.010920627
257	1.008227853
258	1.006541091
259	1.004960734
260	1.002636337
261	1.001574998
262	0.9997453714
263	0.9975886104
264	0.9960172725
265	0.9946991181
266	0.9936503358
267	0.9926915343
268	0.9908471295
269	0.989720641
270	0.9882539811
271	0.9863949848
272	0.9856018373
273	0.9844296334
274	0.9833450683
275	0.9813913501
276	0.979472494
277	0.9775858971
278	0.9763750709
279	0.9745563556
280	0.9732409515
281	0.9723240563
282	0.9705016582
283	0.969404367
284	0.9677218384
285	0.9658890536
286	0.9648181429
287	0.9633343046
288	0.9612049225
289	0.9599472566
290	0.9589853291
291	0.9580341981
292	0.9568909353
293	0.9549281162
294	0.9530669149
295	0.9520632092
296	0.9510036479
297	0.9500542121
298	0.9489191418
299	0.947210022
300	0.9463197552
301	0.9455758062
302	0.9441943993
303	0.9432835065
304	0.9419280925
305	0.9411253591
306	0.9398834615
307	0.9389291128
308	0.9377523292
309	0.9365373691
310	0.9356478295
311	0.9347289792
312	0.9337993959
313	0.9327444964
314	0.9314683603
315	0.9299629364
316	0.9289823614
317	0.9282400137
318	0.9269914774
319	0.9260387224
320	0.9246060072
321	0.9233848033
322	0.9217817399
323	0.920725566
324	0.9192878752
325	0.917623461
326	0.91608625
327	0.9149478996
328	0.9137614604
329	0.9129066604
330	0.9121312375
331	0.9111529741
332	0.9099503906
333	0.908798404
334	0.9079952519
335	0.9071608494
336	0.9057255352
337	0.9046495594
338	0.9036600311
339	0.9025906029
340	0.9008233473
341	0.8998406716
342	0.8987358187
343	0.8976252077
344	0.8964947158
345	0.895726448
346	0.89460007
347	0.8936588609
348	0.8922632654
349	0.8913063594
350	0.8901969427
351	0.888788532
352	0.8879070693
353	0.8870130595
354	0.8862595391
355	0.8853735951
356	0.8843762008
357	0.8833346574
358	0.882489336
359	0.8814695723
360	0.8806303741
361	0.8790035025
362	0.8778164519
363	0.876660282
364	0.8757260025
365	0.8751443049
366	0.8736323467
367	0.8724832503
368	0.8715011456
369	0.8702189665
370	0.8695371769
371	0.8684465311
372	0.8674060014
373	0.8661965507
374	0.8652796407
375	0.8644554892
376	0.8633665644
377	0.8623795872
378	0.8614294649
379	0.8607608968
380	0.8603391798
381	0.859381076
382	0.8584523742
383	0.8578267517
384	0.8571848629
385	0.85621868
386	0.8553744836
387	0.8546442959
388	0.8539743788
389	0.8530613763
390	0.8520463794
391	0.8512173947
392	0.8503792304
393	0.8494479439
394	0.8489337262
395	0.8477350175
396	0.8469914656
397	0.8457967681
398	0.8449985917
399	0.8440983329
400	0.8429380415
401	0.8421845825
402	0.8413225192
403	0.840822481
404	0.8401454884
405	0.8393433715
406	0.8388199228
407	0.8382993977
408	0.83747432
409	0.8365928714
410	0.8357220088
411	0.8349590373
412	0.8342765462
413	0.8336063337
414	0.8325014411
415	0.8316819309
416	0.8306113381
417	0.8296751593
418	0.8288220426
419	0.8280419491
420	0.8272740376
421	0.8267742735
422	0.8261904376
423	0.8252904914
424	0.824584959
425	0.8239211624
426	0.8233798289
427	0.8224715743
428	0.8217189841
429	0.8207950719
430	0.8197775464
431	0.8191999919
432	0.8184646362
433	0.8177819351
434	0.8169977824
435	0.8161299971
436	0.815228929
437	0.8144940962
438	0.8136776567
439	0.813172916
440	0.8125021336
441	0.8115124682
442	0.8110148463
443	0.8100525544
444	0.8093466132
445	0.8085895874
446	0.8080249363
447	0.8074290302
448	0.8069287695
449	0.8065191925
450	0.8053179887
451	0.8046413246
452	0.803851213
453	0.8031148987
454	0.8025359435
455	0.8018575822
456	0.8010890759
457	0.8002262046
458	0.7994026715
459	0.7984469294
460	0.7976551195
461	0.7967104058
462	0.7960746
463	0.7953502627
464	0.794856955
465	0.7939880637
466	0.7931579658
467	0.7926871591
468	0.7916959846
469	0.7908956424
470	0.7903618847
471	0.7896985768
472	0.7889853571
473	0.7883397968
474	0.7872736881
475	0.7866249864
476	0.7859620123
477	0.7854996885
478	0.7846420028
479	0.7841120874
480	0.7835761885
481	0.7831777331
482	0.7826364713
483	0.7821657791
484	0.7810159558
485	0.77995779
486	0.7792412681
487	0.7783985604
488	0.777701565
489	0.7772423804
490	0.776883617
491	0.7763702148
492	0.7758376203
493	0.7751594688
494	0.7739505071
495	0.7732278381
496	0.7727461105
497	0.771826069
498	0.7713103268
499	0.770865867
500	0.7702115551
501	0.7697128488
502	0.7692772539
503	0.7685443533
504	0.7676114157
505	0.7669320636
506	0.7667213818
507	0.7662544509
508	0.7657422537
509	0.7653038109
510	0.7648860169
511	0.7642975049
512	0.7633189459
513	0.7625123826
514	0.7618662719
515	0.7610207363
516	0.760086434
517	0.7593495028
518	0.7588547195
519	0.7583652915
520	0.7574781035
521	0.756984322
522	0.7560291158
523	0.7551768083
524	0.7544679262
525	0.7539995987
526	0.7535826338
527	0.7530173841
528	0.752504881
529	0.7518836787
530	0.7513454428
531	0.7508077937
532	0.7499194713
533	0.7492378529
534	0.7481434917
535	0.7476580077
536	0.7471313176
537	0.7465337606
538	0.7459036844
539	0.7451641122
540	0.7448601596
541	0.744487494
542	0.7439556574
543	0.7432065011
544	0.7423988639
545	0.7415348586
546	0.7410727975
547	0.740764636
548	0.7400665773
549	0.7394464254
550	0.7389123635
551	0.7380996059
552	0.7377984869
553	0.7374986399
554	0.7368730348
555	0.7361835998
556	0.7354699833
557	0.73467688
558	0.7338944659
559	0.7332914928
560	0.7325006857
561	0.7319685332
562	0.73122532
563	0.7304734397
564	0.7299230049
565	0.7292481742
566	0.7285190865
567	0.7281604365
568	0.7278682092
569	0.7271950678
570	0.7264531859
571	0.726080553
572	0.7256170275
573	0.72497346
574	0.7246265263
575	0.7238851938
576	0.7232365814
577	0.7225904557
578	0.7221002456
579	0.7214365936
580	0.7208740698
581	0.7206001593
582	0.7199592402
583	0.7193643227
584	0.7184576821
585	0.7177658964
586	0.7171646713
587	0.7163836667
588	0.7160449662
589	0.7156676663
590	0.7152779569
591	0.7148397847
592	0.7142300055
593	0.7136251824
594	0.7132065369
595	0.7127561957
596	0.7122870094
597	0.711689112
598	0.7112345772
599	0.7107150842
600	0.7100223615
601	0.7096854636
602	0.7088376577
603	0.7083169118
604	0.7076598235
605	0.7071635631
606	0.706815317
607	0.7065668473
608	0.7061552573
609	0.7056179073
610	0.7050304855
611	0.7043727728
612	0.7039141536
613	0.7034142323
614	0.7029808658
615	0.7024871071
616	0.7023124611
617	0.7018256276
618	0.7014789306
619	0.7013245589
620	0.7010547813
621	0.7004413659
622	0.6998504825
623	0.6994641265
624	0.6989186071
625	0.6985567576
626	0.6982026379
627	0.6975545776
628	0.6972356436
629	0.6968003607
630	0.6964295485
631	0.6957557293
632	0.6953854385
633	0.6949369703
634	0.6943117379
635	0.6939077989
636	0.6934797556
637	0.6930465658
638	0.6926990283
639	0.6923256379
640	0.6919017366
641	0.6913597631
642	0.6908508725
643	0.6902712165
644	0.6898896062
645	0.6896459306
646	0.6891906595
647	0.6884046336
648	0.6878859568
649	0.6874344122
650	0.6868377304
651	0.6862674198
652	0.6857056352
653	0.6853485038
654	0.6849907322
655	0.6843641745
656	0.6837130631
657	0.6831776104
658	0.6827004635
659	0.6822914333
660	0.6819671649
661	0.6813932853
662	0.6808767588
663	0.6803228159
664	0.6795538938
665	0.6789205029
666	0.6786488699
667	0.6782021129
668	0.6774838897
669	0.6771578123
670	0.6766793589
671	0.6762801617
672	0.675924463
673	0.6753912122
674	0.6748875643
675	0.6743365188
676	0.6741080903
677	0.6736730609
678	0.6734807636
679	0.6729367044
680	0.6725480835
681	0.6721613663
682	0.6716387016
683	0.671172238
684	0.6707291685
685	0.6703676617
686	0.6700504115
687	0.6694899415
688	0.6692971164
689	0.6685753901
690	0.6682096982
691	0.6675374737
692	0.6671833483
693	0.6667687862
694	0.6663116094
695	0.6658188065
696	0.6654134619
697	0.6648589536
698	0.6646333962
699	0.6641122285
700	0.6636983582
701	0.6632815944
702	0.6628653893
703	0.6623442623
704	0.6619755214
705	0.6614178657
706	0.6609801583
707	0.6605503004
708	0.6600491889
709	0.6594263028
710	0.659116922
711	0.6586169767
712	0.6582609038
713	0.6579067529
714	0.657693747
715	0.6572209719
716	0.6565398093
717	0.6561017676
718	0.655869757
719	0.6554819403
720	0.6549229008
721	0.6543755318
722	0.6539405242
723	0.6536302326
724	0.6530572788
725	0.6523029581
726	0.6515438075
727	0.6511219818
728	0.6505306877
729	0.6499893061
730	0.6495325995
731	0.6492272288
732	0.6487385255
733	0.6483383992
734	0.6480977878
735	0.6478511226
736	0.647376936
737	0.6468759855
738	0.6464357054
739	0.6460714341
740	0.64550894
741	0.6451172201
742	0.6447742932
743	0.6442771815
744	0.6439149766
745	0.6435075057
746	0.643242954
747	0.6430317562
748	0.6427331283
749	0.6424229231
750	0.6420037541
751	0.6415510296
752	0.6410936062
753	0.6409107762
754	0.640462771
755	0.640127076
756	0.6398382418
757	0.6393639806
758	0.6389300782
759	0.6386228575
760	0.6382600936
761	0.6377355674
762	0.6373789864
763	0.6370521064
764	0.6367744442
765	0.6364334985
766	0.6360125059
767	0.6357637069
768	0.6355151668
769	0.6353800611
770	0.6348961659
771	0.6345995804
772	0.6342679518
773	0.6339285725
774	0.6335285349
775	0.6330836842
776	0.6326533674
777	0.6320939131
778	0.6317125615
779	0.6312880779
780	0.6309915104
781	0.630657961
782	0.6304148889
783	0.6300025703
784	0.6296299951
785	0.6293612509
786	0.6289616175
787	0.6285809261
788	0.6281307699
789	0.6276025824
790	0.6272013736
791	0.6268410172
792	0.6264103046
793	0.6261080791
794	0.6257802549
795	0.6253110115
796	0.6249738078
797	0.6248278034
798	0.6243927684
799	0.6239510902
800	0.6236247567
801	0.6232919167
802	0.6228420292
803	0.6225427713
804	0.6222846692
805	0.6216483674
806	0.6213397609
807	0.6208656374
808	0.620429665
809	0.6200012288
810	0.6196732695
811	0.6192453201
812	0.6186948587
813	0.6183616007
814	0.6180259037
815	0.6174839944
816	0.6172550102
817	0.6170278373
818	0.6167316895
819	0.6163676745
820	0.6160471725
821	0.615900843
822	0.6155004578
823	0.6153313949
824	0.6151312565
825	0.6148632931
826	0.6146900046
827	0.6143604183
828	0.6140940337
829	0.6137395716
830	0.6133574918
831	0.6131110601
832	0.6126903317
833	0.6123233804
834	0.611967713
835	0.6117985188
836	0.6113006138
837	0.6110087896
838	0.6107542579
839	0.6105580078
840	0.6103724599
841	0.6098353467
842	0.6094641863
843	0.6092073008
844	0.6088525239
845	0.6085179642
846	0.6081967385
847	0.6078058277
848	0.6074935416
849	0.6072794243
850	0.6068552435
851	0.6064285214
852	0.6061792485
853	0.6060147767
854	0.6057100747
855	0.6052972091
856	0.6050394346
857	0.6047643578
858	0.6044963395
859	0.6041710456
860	0.6036106799
861	0.6032982887
862	0.6030477926
863	0.6026459863
864	0.6024471185
865	0.6021341892
866	0.6017467409
867	0.6014784068
868	0.6011461908
869	0.6007508911
870	0.6005062414
871	0.6002801187
872	0.6000963202
873	0.5996356851
874	0.5990455842
875	0.5986713625
876	0.5983314883
877	0.5978480128
878	0.5974429304
879	0.5971034449
880	0.5966749988
881	0.5963904357
882	0.5961763104
883	0.5960544401
884	0.5957858776
885	0.595511806
886	0.595251478
887	0.594810058
888	0.5946634689
889	0.5944360773
890	0.5941137543
891	0.5937854304
892	0.593545574
893	0.5934427602
894	0.5932042199
895	0.5928519701
896	0.5926363202
897	0.5924180317
898	0.5920418642
899	0.5916612129
900	0.5912855395
901	0.5909650491
902	0.5907338195
903	0.5904840808
904	0.5901905432
905	0.5900626522
906	0.5898213619
907	0.5893768853
908	0.5890914222
909	0.588608973
910	0.5884079613
911	0.5880806224
912	0.5878440968
913	0.5874541844
914	0.5871540805
915	0.5869368922
916	0.5866360589
917	0.586539757
918	0.5863584608
919	0.5860438966
920	0.5856728943
921	0.5854353101
922	0.5853103317
923	0.5849156681
924	0.5846423457
925	0.5843741432
926	0.5839279795
927	0.5835969894
928	0.5833095205
929	0.5830592262
930	0.5826826732
931	0.5823567576
932	0.5820826431
933	0.5818502199
934	0.5816437964
935	0.5812251477
936	0.5808840483
937	0.5805663547
938	0.5803776415
939	0.5800726289
940	0.5796289908
941	0.5794526719
942	0.5791762289
943	0.5789246745
944	0.5786881366
945	0.5783917151
946	0.578066843
947	0.5778572722
948	0.5774196811
949	0.5770452948
950	0.5767365353
951	0.5765093111
952	0.5762483117
953	0.5760678287
954	0.575727684
955	0.5755242347
956	0.5752903296
957	0.5748859432
958	0.5747083435
959	0.5745054776
960	0.5742228719
961	0.5740603205
962	0.5739277517
963	0.5736227116
964	0.5732739886
965	0.5730321633
966	0.5727639896
967	0.572453505
968	0.5721249742
969	0.5719520713
970	0.571556529
971	0.5714219432
972	0.5711431274
973	0.5707822068
974	0.5706495732
975	0.5704481822
976	0.5701364731
977	0.5698237288
978	0.5693863919
979	0.5691505065
980	0.5686683395
981	0.5684914567
982	0.5681953134
983	0.5679878896
984	0.5677040835
985	0.5672311969
986	0.5669590333
987	0.5665841364
988	0.5661720145
989	0.5658756125
990	0.5656633473
991	0.5652457288
992	0.5651598408
993	0.5650163195
994	0.5647975728
995	0.5645490208
996	0.5643252638
997	0.5640358318
998	0.5638099041
999	0.5634904373
