iter	Passed	Remaining
203	4122	16086
204	4150	16094
205	4159	16033
206	4170	15977
207	4196	15979
208	4204	15913
209	4230	15915
210	4257	15919
211	4274	15888
212	4279	15812
213	4289	15753
214	4320	15773
215	4346	15777
216	4352	15703
217	4360	15642
218	4382	15629
219	4385	15549
220	4416	15566
221	4427	15516
222	4434	15449
223	4439	15379
224	4472	15405
225	4478	15337
226	4488	15284
227	4528	15333
228	4560	15354
229	4566	15286
230	4590	15282
231	4617	15284
232	4642	15281
233	4671	15292
234	4708	15327
235	4754	15390
236	4757	15317
237	4785	15323
238	4811	15321
239	4818	15258
240	4828	15206
241	4839	15158
242	4879	15201
243	4883	15131
244	4889	15068
245	4896	15006
246	4918	14994
247	4925	14935
248	4938	14894
249	4944	14832
250	4949	14768
251	4952	14699
252	4957	14637
253	4965	14582
254	4971	14525
255	4978	14468
256	5009	14482
257	5017	14429
258	5061	14480
259	5072	14437
260	5122	14505
261	5127	14442
262	5171	14492
263	5180	14442
264	5199	14422
265	5207	14368
266	5214	14315
267	5221	14262
268	5272	14327
269	5279	14274
270	5305	14272
271	5340	14292
272	5373	14310
273	5386	14272
274	5393	14220
275	5424	14228
276	5436	14190
277	5446	14144
278	5457	14103
279	5469	14065
280	5479	14020
281	5492	13983
282	5504	13945
283	5517	13910
284	5526	13865
285	5542	13836
286	5606	13928
287	5613	13877
288	5651	13903
289	5668	13878
290	5674	13826
291	5696	13812
292	5704	13763
293	5714	13721
294	5723	13678
295	5736	13644
296	5751	13613
297	5767	13585
298	5778	13548
299	5788	13506
300	5802	13475
301	5816	13443
302	5829	13409
303	5843	13379
304	5858	13349
305	5877	13329
306	5891	13299
307	5902	13260
308	5916	13231
309	5930	13201
310	5941	13163
311	5954	13130
312	5967	13097
313	6026	13165
314	6054	13166
315	6076	13152
316	6104	13151
317	6108	13099
318	6127	13081
319	6134	13034
320	6169	13049
321	6190	13034
322	6209	13015
323	6235	13009
324	6283	13050
325	6290	13005
326	6320	13008
327	6356	13024
328	6387	13027
329	6418	13031
330	6445	13027
331	6469	13016
332	6478	12976
333	6542	13046
334	6587	13077
335	6591	13026
336	6615	13015
337	6638	13002
338	6684	13033
339	6725	13056
340	6781	13105
341	6814	13109
342	6854	13129
343	6872	13105
344	6882	13066
345	6924	13088
346	6954	13086
347	6982	13081
348	6998	13054
349	7004	13007
350	7011	12964
351	7057	12991
352	7073	12964
353	7083	12926
354	7087	12877
355	7128	12895
356	7141	12861
357	7148	12819
358	7165	12794
359	7173	12753
360	7177	12704
361	7189	12670
362	7212	12656
363	7221	12617
364	7228	12574
365	7269	12592
366	7283	12562
367	7292	12524
368	7303	12489
369	7324	12471
370	7342	12448
371	7354	12415
372	7367	12384
373	7384	12360
374	7398	12330
375	7404	12288
376	7416	12255
377	7423	12214
378	7436	12184
379	7443	12145
380	7494	12176
381	7501	12135
382	7519	12113
383	7543	12101
384	7547	12056
385	7568	12038
386	7571	11993
387	7597	11983
388	7613	11957
389	7643	11955
390	7673	11951
391	7684	11918
392	7704	11899
393	7714	11864
394	7722	11827
395	7761	11838
396	7779	11816
397	7802	11801
398	7830	11795
399	7837	11756
400	7843	11715
401	7863	11696
402	7866	11653
403	7872	11613
404	7879	11575
405	7899	11557
406	7903	11515
407	7953	11541
408	7956	11497
409	7961	11456
410	7968	11418
411	7977	11385
412	7997	11366
413	8027	11362
414	8039	11332
415	8045	11294
416	8058	11266
417	8066	11231
418	8069	11190
419	8104	11191
420	8120	11168
421	8127	11131
422	8130	11090
423	8167	11095
424	8206	11103
425	8220	11076
426	8238	11055
427	8248	11023
428	8298	11044
429	8315	11022
430	8340	11010
431	8351	10981
432	8358	10945
433	8407	10965
434	8414	10929
435	8419	10891
436	8436	10868
437	8442	10832
438	8446	10794
439	8463	10772
440	8471	10737
441	8486	10714
442	8494	10680
443	8501	10646
444	8517	10623
445	8525	10589
446	8540	10565
447	8550	10535
448	8605	10560
449	8613	10527
450	8638	10515
451	8646	10482
452	8675	10475
453	8692	10454
454	8708	10431
455	8726	10411
456	8742	10387
457	8750	10355
458	8758	10322
459	8765	10289
460	8808	10298
461	8821	10272
462	8846	10260
463	8878	10256
464	8893	10232
465	8903	10202
466	8910	10169
467	8917	10137
468	8978	10165
469	8985	10132
470	9015	10125
471	9020	10091
472	9044	10077
473	9086	10083
474	9091	10047
475	9139	10061
476	9195	10082
477	9239	10090
478	9260	10072
479	9285	10059
480	9318	10055
481	9330	10027
482	9363	10022
483	9367	9987
484	9386	9967
485	9425	9968
486	9442	9946
487	9447	9911
488	9502	9929
489	9505	9893
490	9511	9860
491	9518	9828
492	9541	9812
493	9554	9786
494	9556	9749
495	9592	9747
496	9614	9730
497	9619	9696
498	9625	9664
499	9635	9635
500	9659	9620
501	9669	9592
502	9674	9559
503	9681	9527
504	9738	9545
505	9744	9513
506	9805	9535
507	9819	9510
508	9828	9481
509	9852	9466
510	9886	9460
511	9891	9427
512	9949	9445
513	9990	9446
514	10036	9451
515	10095	9469
516	10099	9435
517	10155	9449
518	10160	9416
519	10168	9385
520	10174	9354
521	10229	9367
522	10253	9351
523	10276	9335
524	10284	9305
525	10319	9299
526	10326	9268
527	10383	9282
528	10407	9266
529	10410	9232
530	10417	9201
531	10430	9176
532	10437	9144
533	10455	9124
534	10461	9092
535	10479	9071
536	10521	9071
537	10569	9076
538	10575	9044
539	10598	9028
540	10604	8997
541	10642	8993
542	10664	8975
543	10694	8964
544	10737	8964
545	10741	8931
546	10782	8929
547	10787	8898
548	10799	8872
549	10807	8842
550	10928	8905
551	10933	8873
552	10973	8870
553	11001	8856
554	11025	8840
555	11046	8821
556	11051	8789
557	11068	8767
558	11086	8745
559	11112	8731
560	11133	8712
561	11139	8681
562	11167	8668
563	11202	8659
564	11205	8627
565	11238	8617
566	11268	8605
567	11283	8581
568	11288	8550
569	11296	8521
570	11305	8493
571	11314	8466
572	11323	8438
573	11349	8423
574	11382	8413
575	11397	8390
576	11408	8363
577	11417	8335
578	11426	8308
579	11435	8280
580	11444	8253
581	11509	8266
582	11515	8236
583	11541	8221
584	11571	8209
585	11580	8181
586	11611	8169
587	11635	8152
588	11658	8135
589	11677	8114
590	11714	8107
591	11735	8088
592	11752	8066
593	11757	8036
594	11770	8012
595	11787	7990
596	11821	7980
597	11856	7970
598	11874	7949
599	11889	7926
600	11895	7897
601	11936	7891
602	11940	7861
603	11957	7839
604	11978	7820
605	11989	7794
606	12030	7789
607	12034	7758
608	12040	7730
609	12062	7712
610	12073	7686
611	12081	7659
612	12092	7634
613	12105	7610
614	12116	7585
615	12129	7561
616	12141	7536
617	12154	7513
618	12166	7488
619	12189	7470
620	12199	7445
621	12207	7418
622	12220	7394
623	12227	7367
624	12238	7343
625	12246	7316
626	12322	7330
627	12333	7305
628	12365	7293
629	12385	7273
630	12406	7255
631	12414	7228
632	12428	7205
633	12436	7179
634	12438	7149
635	12458	7130
636	12469	7105
637	12479	7080
638	12489	7055
639	12499	7031
640	12509	7006
641	12517	6980
642	12530	6956
643	12540	6932
644	12550	6907
645	12573	6889
646	12609	6879
647	12644	6868
648	12659	6846
649	12688	6832
650	12706	6811
651	12711	6784
652	12735	6767
653	12741	6740
654	12757	6719
655	12763	6693
656	12778	6671
657	12793	6649
658	12799	6623
659	12861	6625
660	12881	6606
661	12922	6598
662	12943	6579
663	12974	6565
664	12980	6539
665	12987	6513
666	13010	6495
667	13016	6469
668	13022	6443
669	13039	6422
670	13045	6396
671	13070	6379
672	13077	6353
673	13083	6328
674	13089	6302
675	13145	6300
676	13200	6298
677	13207	6272
678	13231	6255
679	13270	6244
680	13289	6225
681	13301	6202
682	13335	6189
683	13340	6163
684	13390	6157
685	13396	6131
686	13417	6113
687	13422	6086
688	13440	6066
689	13474	6053
690	13478	6027
691	13505	6011
692	13515	5987
693	13531	5966
694	13539	5941
695	13577	5930
696	13623	5922
697	13659	5910
698	13664	5883
699	13711	5876
700	13756	5867
701	13790	5854
702	13815	5836
703	13842	5820
704	13854	5797
705	13865	5773
706	13876	5750
707	13890	5728
708	13901	5705
709	13913	5683
710	13929	5661
711	13938	5638
712	13983	5628
713	13998	5607
714	14018	5587
715	14027	5564
716	14041	5542
717	14053	5519
718	14069	5498
719	14082	5476
720	14179	5487
721	14184	5461
722	14212	5445
723	14245	5430
724	14273	5414
725	14280	5389
726	14299	5369
727	14304	5344
728	14315	5321
729	14357	5310
730	14367	5287
731	14410	5275
732	14419	5252
733	14462	5241
734	14479	5220
735	14486	5196
736	14501	5174
737	14518	5154
738	14541	5135
739	14555	5114
740	14580	5096
741	14610	5080
742	14620	5057
743	14626	5032
744	14636	5009
745	14644	4986
746	14651	4962
747	14659	4938
748	14667	4915
749	14675	4891
750	14682	4868
751	14690	4844
752	14697	4821
753	14703	4797
754	14711	4774
755	14721	4751
756	14728	4727
757	14735	4704
758	14743	4681
759	14750	4658
760	14758	4635
761	14766	4611
762	14774	4589
763	14782	4566
764	14790	4543
765	14798	4520
766	14806	4497
767	14813	4474
768	14820	4452
769	14828	4429
770	14835	4406
771	14843	4383
772	14850	4361
773	14859	4338
774	14865	4315
775	14875	4293
776	14884	4271
777	14892	4249
778	14900	4227
779	14907	4204
780	14915	4182
781	14922	4160
782	14931	4138
783	14939	4115
784	14954	4095
785	14970	4075
786	14975	4053
787	14997	4034
788	15007	4013
789	15022	3993
790	15033	3972
791	15045	3951
792	15055	3929
793	15065	3908
794	15093	3892
795	15103	3870
796	15113	3849
797	15124	3828
798	15134	3807
799	15145	3786
800	15153	3764
801	15164	3743
802	15176	3723
803	15187	3702
804	15198	3681
805	15208	3660
806	15217	3639
807	15228	3618
808	15242	3598
809	15262	3580
810	15317	3569
811	15329	3549
812	15340	3528
813	15348	3507
814	15365	3487
815	15373	3466
816	15387	3446
817	15395	3425
818	15404	3404
819	15412	3383
820	15421	3362
821	15424	3340
822	15439	3320
823	15447	3299
824	15454	3278
825	15461	3257
826	15469	3235
827	15474	3214
828	15482	3193
829	15489	3172
830	15496	3151
831	15502	3130
832	15517	3111
833	15521	3089
834	15537	3070
835	15550	3050
836	15555	3029
837	15567	3009
838	15575	2988
839	15582	2968
840	15592	2947
841	15599	2927
842	15607	2906
843	15616	2886
844	15627	2866
845	15636	2846
846	15644	2825
847	15653	2805
848	15661	2785
849	15669	2765
850	15677	2744
851	15685	2724
852	15694	2704
853	15702	2684
854	15711	2664
855	15718	2644
856	15727	2624
857	15735	2604
858	15752	2585
859	15779	2568
860	15786	2548
861	15801	2529
862	15811	2509
863	15814	2489
864	15820	2469
865	15829	2449
866	15839	2429
867	15848	2410
868	15865	2391
869	15868	2371
870	15875	2351
871	15884	2331
872	15892	2311
873	15904	2292
874	15915	2273
875	15932	2255
876	15936	2235
877	15948	2216
878	15958	2196
879	15967	2177
880	15974	2157
881	15992	2139
882	16027	2123
883	16039	2104
884	16049	2085
885	16058	2066
886	16062	2046
887	16071	2027
888	16081	2007
889	16091	1988
890	16107	1970
891	16118	1951
892	16127	1932
893	16162	1916
894	16168	1896
895	16217	1882
896	16224	1863
897	16273	1848
898	16298	1831
899	16315	1812
900	16320	1793
901	16358	1777
902	16361	1757
903	16376	1739
904	16402	1721
905	16446	1706
906	16453	1687
907	16496	1671
908	16505	1652
909	16540	1635
910	16569	1618
911	16589	1600
912	16598	1581
913	16607	1562
914	16631	1544
915	16638	1525
916	16675	1509
917	16683	1490
918	16709	1472
919	16733	1455
920	16766	1438
921	16792	1420
922	16798	1401
923	16816	1383
924	16848	1366
925	16853	1346
926	16860	1327
927	16876	1309
928	16907	1292
929	16913	1273
930	16922	1254
931	16931	1235
932	16948	1217
933	17007	1201
934	17018	1183
935	17067	1167
936	17078	1148
937	17099	1130
938	17113	1111
939	17119	1092
940	17136	1074
941	17160	1056
942	17165	1037
943	17171	1018
944	17184	1000
945	17191	981
946	17196	962
947	17217	944
948	17225	925
949	17235	907
950	17250	888
951	17266	870
952	17316	854
953	17324	835
954	17331	816
955	17346	798
956	17355	779
957	17366	761
958	17386	743
959	17393	724
960	17398	706
961	17405	687
962	17424	669
963	17430	650
964	17436	632
965	17443	613
966	17450	595
967	17460	577
968	17510	560
969	17516	541
970	17559	524
971	17582	506
972	17588	488
973	17613	470
974	17618	451
975	17635	433
976	17675	416
977	17682	397
978	17708	379
979	17730	361
980	17735	343
981	17775	325
982	17782	307
983	17822	289
984	17844	271
985	17851	253
986	17886	235
987	17890	217
988	17928	199
989	17946	181
990	17980	163
991	17990	145
992	18028	127
993	18060	109
994	18073	90
995	18123	72
996	18132	54
997	18152	36
998	18158	18
999	18179	0
